Date,AAPL,AMZN,BAC,CSCO,DIS,GOOG,HD,INTC,JPM,KO,MA,META,MSFT,NVDA,PEP,PFE,PG,TSLA,UNH,V
2018-01-02,40.47983169555664,59.45050048828125,25.19164276123047,30.966264724731445,107.3992919921875,52.99897003173828,157.6803436279297,39.33037567138672,87.57189178466797,36.27220916748047,145.66468811035156,180.5689697265625,79.47415924072266,4.929427146911621,95.27213287353516,25.560184478759766,74.35999298095703,21.368667602539062,198.53526306152344,108.9210433959961
2018-01-03,40.47278594970703,60.209999084472656,25.10739517211914,31.213279724121094,107.8603744506836,53.86885070800781,158.50210571289062,37.99557876586914,87.66111755371094,36.192562103271484,147.49615478515625,183.80372619628906,79.84398651123047,5.253853797912598,95.02197265625,25.749570846557617,74.26974487304688,21.149999618530273,200.61795043945312,110.00538635253906
2018-01-04,40.66078186035156,60.47949981689453,25.435977935791016,31.301593780517578,107.8123550415039,54.06393051147461,159.7600555419922,37.29880142211914,88.91691589355469,36.70232391357422,149.40432739257812,183.46533203125,80.54676055908203,5.281548500061035,95.49000549316406,25.805688858032227,74.79473876953125,20.974666595458984,201.48870849609375,110.41439819335938
2018-01-05,41.12371826171875,61.457000732421875,25.55393409729004,31.735124588012695,107.22637176513672,54.8516960144043,161.42881774902344,37.559051513671875,88.34610748291016,36.694358825683594,152.5015106201172,185.9735107421875,81.54539489746094,5.3263044357299805,95.76438903808594,25.85479164123535,74.84395599365234,21.10533332824707,205.33087158203125,113.05873107910156
2018-01-08,40.97098159790039,62.34349822998047,25.377004623413086,32.06427001953125,105.68936157226562,55.08608627319336,161.04307556152344,37.559051513671875,88.47659301757812,36.63859939575195,152.96250915527344,187.39678955078125,81.62860870361328,5.489506244659424,95.21562957763672,25.567203521728516,75.2376937866211,22.42733383178711,201.76698303222656,113.51529693603516
2018-01-09,40.96627426147461,62.6349983215332,25.50339126586914,31.863563537597656,105.61248779296875,55.052249908447266,161.93199157714844,36.618812561035156,88.92508697509766,36.82179260253906,153.18345642089844,186.98870849609375,81.57313537597656,5.488023281097412,95.28828430175781,25.539142608642578,74.68809509277344,22.246000289916992,202.77239990234375,113.29651641845703
2018-01-10,40.95687484741211,62.71649932861328,25.73929214477539,32.04017639160156,105.16100311279297,54.870609283447266,160.841796875,35.6785774230957,89.90361785888672,36.694358825683594,153.5291290283203,186.95884704589844,81.20326232910156,5.531047821044922,94.80406188964844,25.58123016357422,74.21232604980469,22.31999969482422,201.2642822265625,113.17285919189453
2018-01-11,41.18952560424805,63.83399963378906,25.831972122192383,32.192710876464844,106.62117004394531,55.01542282104492,163.25689697265625,36.442508697509766,90.38472747802734,36.67045974731445,154.5471649169922,186.88917541503906,81.44369506835938,5.5409393310546875,94.31990051269531,25.64435386657715,73.9498291015625,22.530000686645508,202.33255004882812,113.99088287353516
2018-01-12,41.61486053466797,65.26000213623047,26.278512954711914,32.810874938964844,108.04290771484375,55.84847640991211,164.71612548828125,36.2998046875,91.87699890136719,36.75807189941406,155.9013671875,178.52857971191406,82.84915924072266,5.513738632202148,94.72338104248047,25.63033103942871,73.50687408447266,22.4146671295166,205.25003051757812,114.22866821289062
2018-01-16,41.40336608886719,65.24299621582031,26.320642471313477,32.54595947265625,106.33296966552734,55.82358932495117,164.62387084960938,36.21586227416992,91.55082702636719,37.06074142456055,155.8629150390625,177.55319213867188,81.69331359863281,5.442770481109619,95.1107177734375,25.67241859436035,74.00724792480469,22.67066764831543,209.07427978515625,114.51403045654297
2018-01-17,42.08718490600586,64.75,26.27008628845215,33.07581329345703,107.56259155273438,56.33218765258789,167.56732177734375,37.26523208618164,92.13794708251953,37.29173278808594,157.81253051757812,176.7668914794922,83.34847259521484,5.556764602661133,96.17593383789062,26.07924461364746,74.81114196777344,23.143999099731445,214.0385284423828,116.02644348144531
2018-01-18,42.12477493286133,64.66600036621094,26.522846221923828,33.15608596801758,106.0736083984375,56.223201751708984,166.31781005859375,37.34077835083008,92.35811614990234,37.339508056640625,158.92660522460938,178.9565887451172,83.3115005493164,5.549840450286865,96.07102966308594,25.945974349975586,74.53839111328125,22.971332550048828,218.2847137451172,117.10127258300781
2018-01-19,41.93680191040039,64.72899627685547,26.72504997253418,33.14806365966797,106.23690795898438,56.60737991333008,168.83358764648438,37.62620544433594,92.15426635742188,37.56253433227539,160.22314453125,180.4395751953125,83.2190170288086,5.690044403076172,96.97486877441406,25.91090202331543,75.27401733398438,23.334667205810547,218.4552459716797,116.71128845214844
2018-01-22,41.59370040893555,66.3655014038086,26.91040802001953,33.445106506347656,106.72683715820312,57.518070220947266,171.45840454101562,38.40694046020508,93.23064422607422,37.737754821777344,161.61572265625,184.50045776367188,84.70771026611328,5.778569221496582,98.05621337890625,25.903888702392578,75.9518051147461,23.437332153320312,218.64376831054688,118.26173400878906
2018-01-23,41.60310363769531,68.12699890136719,26.89356231689453,33.79833984375,106.06400299072266,58.22273254394531,171.82736206054688,38.667179107666016,93.1328125,37.79351043701172,160.56890869140625,188.4617919921875,84.97583770751953,5.907648086547852,97.8867416381836,25.826730728149414,73.6043930053711,23.519332885742188,220.12498474121094,118.56611633300781
2018-01-24,40.940425872802734,67.87550354003906,27.036794662475586,33.854530334472656,106.15045928955078,57.93758010864258,172.93434143066406,38.20546340942383,94.32337188720703,38.096168518066406,160.39599609375,185.67491149902344,84.9018783569336,5.830746173858643,97.75762176513672,25.903888702392578,72.99272155761719,23.05933380126953,219.8017578125,118.47100067138672
